STATEFIPS,STATE,ZIPCODE,AGI_STUB,Number of Returns,MARS1
1,AL,0,0,2022380,801900
1,AL,35004,0,4930,1960
1,AL,35005,0,3300,1350
1,AL,35006,0,1230,420
1,AL,35007,0,11990,4660
1,AL,35010,0,8320,3000
1,AL,35014,0,1610,520
1,AL,35016,0,7030,2610
1,AL,35019,0,930,330
1,AL,35020,0,9970,4030
1,AL,35022,0,9490,3750
1,AL,35023,0,10230,3950
1,AL,35031,0,2970,980
1,AL,35033,0,1340,430
1,AL,35034,0,1440,480
1,AL,35035,0,550,210
1,AL,35040,0,7130,2720
1,AL,35042,0,2220,800
1,AL,35043,0,4550,1550
1,AL,35044,0,3160,1210
1,AL,35045,0,5650,2070
1,AL,35046,0,2480,880
1,AL,35049,0,1540,550
1,AL,35051,0,3400,1360
1,AL,35053,0,1010,370
1,AL,35054,0,1730,660
1,AL,35055,0,7720,3070
1,AL,35057,0,5060,1820
1,AL,35058,0,4130,1470
1,AL,35061,0,650,270
1,AL,35062,0,3220,1040
1,AL,35063,0,1250,400
1,AL,35064,0,4740,2090
1,AL,35068,0,3600,1620
1,AL,35071,0,7290,2890
1,AL,35072,0,1840,590
1,AL,35073,0,1000,390
1,AL,35077,0,5030,1960
1,AL,35078,0,910,350
1,AL,35079,0,3400,1060
1,AL,35080,0,7210,2620
1,AL,35083,0,1210,430
1,AL,35085,0,3350,1150
1,AL,35087,0,840,280
1,AL,35089,0,770,280
1,AL,35091,0,1120,370
1,AL,35094,0,6370,2560
1,AL,35096,0,3390,1220
1,AL,35097,0,740,230
1,AL,35098,0,550,170
1,AL,35111,0,6840,2460
1,AL,35114,0,2930,1040
1,AL,35115,0,5180,2120
1,AL,35116,0,1960,710
1,AL,35117,0,2690,990
1,AL,35118,0,1380,500
1,AL,35120,0,5640,1980
1,AL,35121,0,5920,2060
1,AL,35124,0,11530,4850
1,AL,35125,0,4340,1640
1,AL,35126,0,9560,3710
1,AL,35127,0,4290,1690
1,AL,35128,0,3950,1500
1,AL,35130,0,1230,450
1,AL,35131,0,1530,550
1,AL,35133,0,1570,560
1,AL,35135,0,820,330
1,AL,35136,0,690,250
1,AL,35143,0,1190,450
1,AL,35146,0,4370,1500
1,AL,35147,0,2240,770
1,AL,35148,0,1160,410
1,AL,35150,0,7280,2910
1,AL,35151,0,2900,1050
1,AL,35160,0,9790,3670
1,AL,35171,0,1330,440
1,AL,35172,0,1170,420
1,AL,35173,0,12130,4290
1,AL,35175,0,2080,730
1,AL,35176,0,340,140
1,AL,35178,0,1470,530
1,AL,35179,0,3760,1370
1,AL,35180,0,5600,1920
1,AL,35183,0,300,130
1,AL,35184,0,2110,750
1,AL,35186,0,1970,700
1,AL,35188,0,1120,360
1,AL,35203,0,1310,790
1,AL,35204,0,4020,1860
1,AL,35205,0,7930,5290
1,AL,35206,0,6900,3170
1,AL,35207,0,3540,1590
1,AL,35208,0,6340,2840
1,AL,35209,0,12310,6030
1,AL,35210,0,6670,3180
1,AL,35211,0,11600,5460
1,AL,35212,0,5000,2290
1,AL,35213,0,6760,3260
