STATEFIPS,STATE,ZIPCODE,AGI_STUB,Number of Returns
1,AL,0,0,2027110
1,AL,35004,0,5110
1,AL,35005,0,3260
1,AL,35006,0,1230
1,AL,35007,0,12170
1,AL,35010,0,8160
1,AL,35014,0,1610
1,AL,35016,0,7010
1,AL,35019,0,890
1,AL,35020,0,9570
1,AL,35022,0,9770
1,AL,35023,0,10280
1,AL,35031,0,2900
1,AL,35033,0,1320
1,AL,35034,0,1410
1,AL,35035,0,550
1,AL,35040,0,7470
1,AL,35042,0,2250
1,AL,35043,0,4800
1,AL,35044,0,3120
1,AL,35045,0,5550
1,AL,35046,0,2370
1,AL,35049,0,1530
1,AL,35051,0,3310
1,AL,35053,0,1040
1,AL,35054,0,1780
1,AL,35055,0,7910
1,AL,35057,0,5180
1,AL,35058,0,4290
1,AL,35061,0,650
1,AL,35062,0,3240
1,AL,35063,0,1210
1,AL,35064,0,4520
1,AL,35068,0,3720
1,AL,35071,0,7440
1,AL,35072,0,1780
1,AL,35073,0,970
1,AL,35077,0,5130
1,AL,35078,0,920
1,AL,35079,0,3440
1,AL,35080,0,7690
1,AL,35083,0,1200
1,AL,35085,0,3310
1,AL,35087,0,820
1,AL,35089,0,730
1,AL,35091,0,1180
1,AL,35094,0,6370
1,AL,35096,0,3350
1,AL,35097,0,770
1,AL,35098,0,550
1,AL,35111,0,6880
1,AL,35114,0,2970
1,AL,35115,0,5240
1,AL,35116,0,2000
1,AL,35117,0,2630
1,AL,35118,0,1320
1,AL,35120,0,5960
1,AL,35121,0,5860
1,AL,35124,0,11630
1,AL,35125,0,4470
1,AL,35126,0,9560
1,AL,35127,0,4360
1,AL,35128,0,4120
1,AL,35130,0,1210
1,AL,35131,0,1490
1,AL,35133,0,1540
1,AL,35135,0,790
1,AL,35136,0,690
1,AL,35143,0,1220
1,AL,35146,0,4420
1,AL,35147,0,2350
1,AL,35148,0,1100
1,AL,35150,0,7110
1,AL,35151,0,2940
1,AL,35160,0,9740
1,AL,35171,0,1360
1,AL,35172,0,1150
1,AL,35173,0,12310
1,AL,35175,0,2130
1,AL,35176,0,330
1,AL,35178,0,1390
1,AL,35179,0,3750
1,AL,35180,0,5720
1,AL,35183,0,280
1,AL,35184,0,2100
1,AL,35186,0,2000
1,AL,35188,0,1160
1,AL,35203,0,1300
1,AL,35204,0,3720
1,AL,35205,0,8070
1,AL,35206,0,6680
1,AL,35207,0,3390
1,AL,35208,0,6080
1,AL,35209,0,12450
1,AL,35210,0,6750
1,AL,35211,0,11270
1,AL,35212,0,4880
1,AL,35213,0,6700
1,AL,35214,0,8330
1,AL,35215,0,20700
1,AL,35216,0,16820
1,AL,35217,0,5140
1,AL,35218,0,2700
1,AL,35221,0,1880
1,AL,35222,0,3800
1,AL,35223,0,5540
1,AL,35224,0,2250
1,AL,35226,0,16230
1,AL,35228,0,4320
1,AL,35233,0,590
1,AL,35234,0,2020
1,AL,35235,0,9230
1,AL,35242,0,25260
1,AL,35243,0,9520
1,AL,35244,0,16170
1,AL,35401,0,10230
1,AL,35404,0,8120
1,AL,35405,0,18300
1,AL,35406,0,6600
1,AL,35441,0,440
1,AL,35442,0,1910
1,AL,35443,0,690
1,AL,35444,0,1520
1,AL,35446,0,850
1,AL,35447,0,1260
1,AL,35452,0,1570
1,AL,35453,0,4800
1,AL,35456,0,1820
1,AL,35458,0,220
1,AL,35459,0,340
1,AL,35460,0,220
1,AL,35461,0,690
1,AL,35462,0,1910
1,AL,35463,0,770
1,AL,35464,0,200
1,AL,35466,0,2270
1,AL,35469,0,140
1,AL,35470,0,1880
1,AL,35473,0,7130
1,AL,35474,0,2820
1,AL,35475,0,6680
1,AL,35476,0,3760
1,AL,35480,0,660
1,AL,35481,0,1300
1,AL,35490,0,1760
1,AL,35501,0,3920
1,AL,35503,0,3340
1,AL,35504,0,5090
1,AL,35540,0,920
1,AL,35541,0,1250
1,AL,35542,0,420
1,AL,35543,0,380
1,AL,35544,0,240
1,AL,35546,0,1460
1,AL,35548,0,560
1,AL,35549,0,1350
1,AL,35550,0,1890
1,AL,35552,0,350
1,AL,35553,0,1700
1,AL,35554,0,430
1,AL,35555,0,3730
1,AL,35563,0,1530
1,AL,35564,0,770
1,AL,35565,0,4750
1,AL,35570,0,3920
1,AL,35571,0,330
1,AL,35572,0,360
1,AL,35574,0,550
1,AL,35575,0,360
1,AL,35576,0,1150
1,AL,35578,0,1840
1,AL,35579,0,1150
1,AL,35580,0,1480
1,AL,35581,0,1920
1,AL,35582,0,1660
1,AL,35585,0,590
1,AL,35586,0,1580
1,AL,35587,0,320
1,AL,35592,0,1670
1,AL,35593,0,660
1,AL,35594,0,2830
1,AL,35601,0,14070
1,AL,35603,0,13940
1,AL,35610,0,750
1,AL,35611,0,10300
1,AL,35613,0,8790
1,AL,35614,0,3050
1,AL,35616,0,1440
1,AL,35618,0,760
1,AL,35619,0,2100
1,AL,35620,0,3700
1,AL,35621,0,1170
1,AL,35622,0,2660
1,AL,35630,0,12720
1,AL,35633,0,8570
1,AL,35634,0,4430
1,AL,35640,0,10640
1,AL,35643,0,1280
1,AL,35645,0,5660
1,AL,35646,0,1790
1,AL,35647,0,430
1,AL,35648,0,1500
1,AL,35650,0,5450
1,AL,35651,0,430
1,AL,35652,0,3310
1,AL,35653,0,4740
1,AL,35654,0,3120
1,AL,35660,0,3830
1,AL,35661,0,7750
1,AL,35670,0,3120
1,AL,35671,0,910
1,AL,35672,0,2470
1,AL,35673,0,3440
1,AL,35674,0,7770
1,AL,35677,0,740
1,AL,35739,0,2110
1,AL,35740,0,1360
1,AL,35741,0,1460
1,AL,35744,0,920
1,AL,35746,0,350
1,AL,35747,0,2350
1,AL,35748,0,3010
1,AL,35749,0,10920
1,AL,35750,0,5840
1,AL,35752,0,840
1,AL,35754,0,2140
1,AL,35755,0,270
1,AL,35756,0,6810
1,AL,35757,0,7070
1,AL,35758,0,20930
1,AL,35759,0,3850
1,AL,35760,0,2060
1,AL,35761,0,5100
1,AL,35763,0,7520
